#wavelength [nm],"Tavg, 0.0 deg AOI"
493.6,1.10E-12
493.61,1.10E-12
493.62,1.11E-12
493.63,1.11E-12
493.64,1.12E-12
493.65,1.12E-12
493.66,1.13E-12
493.67,1.13E-12
493.68,1.14E-12
493.69,1.14E-12
493.7,1.15E-12
493.71,1.15E-12
493.72,1.15E-12
493.73,1.16E-12
493.74,1.16E-12
493.75,1.17E-12
493.76,1.18E-12
493.77,1.18E-12
493.78,1.19E-12
493.79,1.19E-12
493.8,1.20E-12
493.81,1.20E-12
493.82,1.21E-12
493.83,1.21E-12
493.84,1.22E-12
493.85,1.22E-12
493.86,1.23E-12
493.87,1.23E-12
493.88,1.24E-12
493.89,1.24E-12
493.9,1.25E-12
493.91,1.26E-12
493.92,1.26E-12
493.93,1.27E-12
493.94,1.27E-12
493.95,1.28E-12
493.96,1.28E-12
493.97,1.29E-12
493.98,1.30E-12
493.99,1.30E-12
494,1.31E-12
494.01,1.31E-12
494.02,1.32E-12
494.03,1.32E-12
494.04,1.33E-12
494.05,1.34E-12
494.06,1.34E-12
494.07,1.35E-12
494.08,1.35E-12
494.09,1.36E-12
494.1,1.37E-12
494.11,1.37E-12
494.12,1.38E-12
494.13,1.39E-12
494.14,1.39E-12
494.15,1.40E-12
494.16,1.41E-12
494.17,1.41E-12
494.18,1.42E-12
494.19,1.43E-12
494.2,1.43E-12
494.21,1.44E-12
494.22,1.44E-12
494.23,1.45E-12
494.24,1.46E-12
494.25,1.47E-12
494.26,1.47E-12
494.27,1.48E-12
494.28,1.49E-12
494.29,1.49E-12
494.3,1.50E-12
494.31,1.51E-12
494.32,1.51E-12
494.33,1.52E-12
494.34,1.53E-12
494.35,1.54E-12
494.36,1.54E-12
494.37,1.55E-12
494.38,1.56E-12
494.39,1.57E-12
494.4,1.57E-12
494.41,1.58E-12
494.42,1.59E-12
494.43,1.60E-12
494.44,1.60E-12
494.45,1.61E-12
494.46,1.62E-12
494.47,1.63E-12
494.48,1.63E-12
494.49,1.64E-12
494.5,1.65E-12
494.51,1.66E-12
494.52,1.67E-12
494.53,1.67E-12
494.54,1.68E-12
494.55,1.69E-12
494.56,1.70E-12
494.57,1.71E-12
494.58,1.72E-12
494.59,1.72E-12
494.6,1.73E-12
494.61,1.74E-12
494.62,1.75E-12
494.63,1.76E-12
494.64,1.77E-12
494.65,1.78E-12
494.66,1.78E-12
494.67,1.79E-12
494.68,1.80E-12
494.69,1.81E-12
494.7,1.82E-12
494.71,1.83E-12
494.72,1.84E-12
494.73,1.85E-12
494.74,1.86E-12
494.75,1.87E-12
494.76,1.88E-12
494.77,1.88E-12
494.78,1.89E-12
494.79,1.90E-12
494.8,1.91E-12
494.81,1.92E-12
494.82,1.93E-12
494.83,1.94E-12
494.84,1.95E-12
494.85,1.96E-12
494.86,1.97E-12
494.87,1.98E-12
494.88,1.99E-12
494.89,2.00E-12
494.9,2.01E-12
494.91,2.02E-12
494.92,2.03E-12
494.93,2.04E-12
494.94,2.05E-12
494.95,2.07E-12
494.96,2.08E-12
494.97,2.09E-12
494.98,2.10E-12
494.99,2.11E-12
495,2.12E-12
495.01,2.13E-12
495.02,2.14E-12
495.03,2.15E-12
495.04,2.16E-12
495.05,2.17E-12
495.06,2.19E-12
495.07,2.20E-12
495.08,2.21E-12
495.09,2.22E-12
495.1,2.23E-12
495.11,2.24E-12
495.12,2.26E-12
495.13,2.27E-12
495.14,2.28E-12
495.15,2.29E-12
495.16,2.30E-12
495.17,2.32E-12
495.18,2.33E-12
495.19,2.34E-12
495.2,2.35E-12
495.21,2.37E-12
495.22,2.38E-12
495.23,2.39E-12
495.24,2.40E-12
495.25,2.42E-12
495.26,2.43E-12
495.27,2.44E-12
495.28,2.46E-12
495.29,2.47E-12
495.3,2.48E-12
495.31,2.50E-12
495.32,2.51E-12
495.33,2.52E-12
495.34,2.54E-12
495.35,2.55E-12
495.36,2.57E-12
495.37,2.58E-12
495.38,2.59E-12
495.39,2.61E-12
495.4,2.62E-12
495.41,2.64E-12
495.42,2.65E-12
495.43,2.67E-12
495.44,2.68E-12
495.45,2.70E-12
495.46,2.71E-12
495.47,2.73E-12
495.48,2.74E-12
495.49,2.76E-12
495.5,2.77E-12
495.51,2.79E-12
495.52,2.80E-12
495.53,2.82E-12
495.54,2.83E-12
495.55,2.85E-12
495.56,2.87E-12
495.57,2.88E-12
495.58,2.90E-12
495.59,2.91E-12
495.6,2.93E-12
495.61,2.95E-12
495.62,2.96E-12
495.63,2.98E-12
495.64,3.00E-12
495.65,3.02E-12
495.66,3.03E-12
495.67,3.05E-12
495.68,3.07E-12
495.69,3.08E-12
495.7,3.10E-12
495.71,3.12E-12
495.72,3.14E-12
495.73,3.16E-12
495.74,3.17E-12
495.75,3.19E-12
495.76,3.21E-12
495.77,3.23E-12
495.78,3.25E-12
495.79,3.27E-12
495.8,3.29E-12
495.81,3.30E-12
495.82,3.32E-12
495.83,3.34E-12
495.84,3.36E-12
495.85,3.38E-12
495.86,3.40E-12
495.87,3.42E-12
495.88,3.44E-12
495.89,3.46E-12
495.9,3.48E-12
495.91,3.50E-12
495.92,3.52E-12
495.93,3.55E-12
495.94,3.57E-12
495.95,3.59E-12
495.96,3.61E-12
495.97,3.63E-12
495.98,3.65E-12
495.99,3.67E-12
496,3.70E-12
496.01,3.72E-12
496.02,3.74E-12
496.03,3.76E-12
496.04,3.78E-12
496.05,3.81E-12
496.06,3.83E-12
496.07,3.85E-12
496.08,3.88E-12
496.09,3.90E-12
496.1,3.92E-12
496.11,3.95E-12
496.12,3.97E-12
496.13,4.00E-12
496.14,4.02E-12
496.15,4.04E-12
496.16,4.07E-12
496.17,4.09E-12
496.18,4.12E-12
496.19,4.14E-12
496.2,4.17E-12
496.21,4.20E-12
496.22,4.22E-12
496.23,4.25E-12
496.24,4.27E-12
496.25,4.30E-12
496.26,4.33E-12
496.27,4.35E-12
496.28,4.38E-12
496.29,4.41E-12
496.3,4.43E-12
496.31,4.46E-12
496.32,4.49E-12
496.33,4.52E-12
496.34,4.55E-12
496.35,4.58E-12
496.36,4.60E-12
496.37,4.63E-12
496.38,4.66E-12
496.39,4.69E-12
496.4,4.72E-12
496.41,4.75E-12
496.42,4.78E-12
496.43,4.81E-12
496.44,4.84E-12
496.45,4.87E-12
496.46,4.90E-12
496.47,4.93E-12
496.48,4.97E-12
496.49,5.00E-12
